OTU_ID,C1,C2-2,C3,P1,P2,P3
OTU4,17966,10006,175,329,231,1
OTU5,45,9258,161,1,2,0
OTU7,0,0,1187,21,32,8029
OTU8,214,82,532,3803,2935,1550
OTU6,0,0,5,3105,2305,1745
OTU9,63,87,1536,3085,467,25
OTU14,0,0,1,1127,2425,6
OTU11,1058,311,1682,254,335,360
OTU12,27,24,195,205,1568,1310
OTU10,0,0,3,2709,97,296
OTU15,0,0,1,2148,818,7
OTU16,16,767,1681,3,66,401
OTU13,19,32,111,477,1591,754
OTU28,0,0,2642,7,12,6
OTU19,0,0,2,12,6,2364
OTU31,54,489,1673,100,24,2
OTU22,0,0,17,7,2452,3
OTU17,19,0,9,3,2317,6
OTU18,0,0,3,2051,2,2
OTU23,7,0,91,170,1192,668
OTU44,0,0,47,414,505,948
OTU26,10,1499,372,2,3,0
OTU24,0,0,0,1,1946,1
OTU25,0,0,2,3,254,1512
OTU30,0,0,0,886,864,1
OTU27,12,1580,29,0,0,0
OTU20,0,0,4,1097,346,130
OTU39,0,0,2,820,3,410
OTU42,749,108,130,195,273,365
OTU33,0,0,1062,2,5,0
OTU32,31,2,121,147,79,735
OTU29,3600,2,1,0,1,0
OTU35,4,940,0,0,0,4
OTU36,3,0,808,4,1,1
OTU41,2,0,270,108,435,35
OTU40,0,0,1,76,654,112
OTU2,1334,464,0,4,3,2
OTU52,1,176,470,0,2,2
OTU64,0,0,3,213,102,232
OTU48,3,0,572,2,5,1
OTU47,1,1,36,337,87,97
OTU109,2,0,300,57,63,121
OTU45,0,0,1,2,293,236
OTU49,0,0,0,2,1,457
OTU58,0,0,446,1,2,3
OTU77,28,69,90,64,152,81
OTU53,4,0,463,2,2,0
OTU54,0,0,0,246,243,1
OTU73,0,0,405,0,2,0
OTU487,4,225,2,0,30,166
OTU60,0,0,124,106,44,154
OTU43,0,0,0,261,72,73
OTU74,0,0,0,2,2,387
OTU70,0,0,11,94,246,51
OTU82,11,3,34,54,57,207
OTU51,0,13,188,99,55,39
OTU72,2,373,0,0,0,0
OTU62,0,0,341,1,2,0
OTU57,0,7,344,1,1,0
OTU56,1,2,239,59,13,16
OTU61,0,0,0,330,4,3
OTU1,624,173,0,0,0,0
OTU71,7,6,123,51,81,81
OTU66,1,308,0,0,0,0
OTU63,6,17,179,18,50,39
OTU149,0,0,0,172,0,171
OTU78,3,3,112,115,88,8
OTU46,9,3,13,155,135,5
OTU84,3,0,132,14,11,140
OTU129,125,44,220,7,1,1
OTU76,0,0,226,28,28,7
OTU68,0,0,246,1,0,1
OTU59,5,2,41,17,43,120
OTU94,0,0,0,56,3,211
OTU67,0,120,125,0,1,0
OTU106,0,0,34,2,117,115
OTU90,0,0,239,1,0,0
OTU69,6,17,56,14,47,96
OTU79,0,0,157,3,17,35
OTU83,25,0,32,56,30,105
OTU150,0,3,47,28,6,142
OTU100,0,25,35,15,70,85
OTU115,19,0,201,2,2,0
OTU96,2,7,21,36,38,104
OTU122,0,0,183,0,2,0
OTU113,57,0,8,0,190,6
OTU159,1,8,81,71,37,1
OTU98,1,167,29,0,0,0
OTU125,0,0,190,0,3,0
OTU81,15,0,3,171,5,8
OTU92,0,24,105,27,23,3
OTU154,451,32,7,15,0,12
OTU107,2,0,9,92,11,61
OTU99,0,4,89,9,76,12
OTU104,0,0,76,45,7,27
OTU80,0,0,169,0,2,0
OTU128,0,0,0,1,0,169
OTU126,18,3,157,0,1,0
OTU88,2,175,0,0,0,1
OTU89,7,1,20,42,33,79
OTU97,0,0,0,1,0,148
OTU240,0,0,135,10,10,0
OTU91,0,0,154,1,2,0
OTU102,23,0,143,1,2,0
OTU103,0,0,137,0,1,0
OTU134,0,32,9,99,0,3
OTU93,0,0,145,0,0,0
OTU157,6,17,81,2,24,7
OTU112,0,0,0,25,1,93
OTU85,0,0,1,71,56,0
OTU191,0,0,0,39,0,68
OTU138,0,0,112,0,0,1
OTU120,1,1,52,27,8,29
OTU145,0,5,59,9,29,20
OTU105,0,1,123,0,0,0
OTU121,0,0,11,3,74,46
OTU3,5,0,11,32,62,18
OTU133,2,113,0,0,0,0
OTU142,0,0,112,3,2,0
OTU110,0,0,0,138,0,0
OTU165,0,0,101,0,1,0
OTU184,0,0,108,5,3,5
OTU123,0,0,115,1,0,0
OTU228,9,0,105,1,1,0
